population,median_income,median_house_val,num_of_white,num_of_black,num_of_indigenous,num_of_asian,num_of_islanders,num_of_others,state,county
519178.0,65513.0,212300.0,367241.0,89420.0,2005.0,13233.0,1170.0,18684.0,SC,045
69338.0,44513.0,127900.0,43499.0,22202.0,83.0,536.0,0.0,490.0,SC,047
19227.0,38298.0,82800.0,7920.0,10149.0,0.0,130.0,0.0,756.0,SC,049
344865.0,54688.0,199100.0,275951.0,43749.0,1358.0,4446.0,88.0,6074.0,SC,051
28363.0,47811.0,182600.0,14012.0,11051.0,84.0,157.0,0.0,1434.0,SC,053
64989.0,56449.0,150200.0,45162.0,15189.0,27.0,325.0,109.0,2132.0,SC,055
94653.0,67407.0,225400.0,69067.0,19028.0,109.0,1540.0,107.0,1259.0,SC,057
67148.0,46754.0,117800.0,46557.0,15404.0,62.0,362.0,39.0,1733.0,SC,059
16730.0,36195.0,85500.0,5636.0,10547.0,4.0,22.0,0.0,109.0,SC,061
291723.0,65623.0,170900.0,222019.0,43564.0,880.0,5800.0,210.0,5854.0,SC,063
9584.0,53193.0,114800.0,5007.0,4258.0,0.0,12.0,0.0,64.0,SC,065
29585.0,34465.0,82100.0,11446.0,16832.0,204.0,86.0,0.0,637.0,SC,067
26912.0,32136.0,66100.0,10769.0,13471.0,808.0,76.0,0.0,456.0,SC,069
37842.0,50950.0,119300.0,23411.0,11624.0,78.0,93.0,0.0,1504.0,SC,071
77932.0,52842.0,169900.0,66893.0,5525.0,538.0,666.0,13.0,1347.0,SC,073
84909.0,38052.0,92800.0,29750.0,52461.0,371.0,652.0,123.0,271.0,SC,075
129617.0,53188.0,166800.0,112821.0,8287.0,159.0,2293.0,23.0,1659.0,SC,077
414719.0,56137.0,175100.0,178628.0,196268.0,627.0,12211.0,492.0,9907.0,SC,079
19008.0,46451.0,112700.0,11828.0,4656.0,14.0,4.0,0.0,1341.0,SC,081
322864.0,57627.0,164300.0,227641.0,65481.0,580.0,7251.0,104.0,7183.0,SC,083
105537.0,49040.0,129200.0,48333.0,48673.0,192.0,1363.0,64.0,2064.0,SC,085
27306.0,40048.0,81400.0,17714.0,8184.0,29.0,31.0,0.0,122.0,SC,087
31279.0,40124.0,76500.0,10031.0,20133.0,139.0,200.0,0.0,548.0,SC,089
276569.0,72234.0,238700.0,199954.0,52225.0,1704.0,7122.0,53.0,3780.0,SC,091
20353.0,54573.0,175200.0,10964.0,73.0,464.0,138.0,88.0,6357.0,WA,001
22285.0,57263.0,229300.0,20291.0,202.0,286.0,262.0,42.0,251.0,WA,003
204551.0,76612.0,283400.0,159628.0,3494.0,1745.0,6188.0,289.0,17119.0,WA,005
78508.0,64895.0,349200.0,56789.0,339.0,558.0,635.0,32.0,14147.0,WA,007
76727.0,60044.0,290700.0,65166.0,789.0,3173.0,1151.0,17.0,1337.0,WA,009
496494.0,82719.0,381700.0,404032.0,9219.0,2995.0,23426.0,3664.0,14569.0,WA,011
3969.0,64688.0,207100.0,3367.0,58.0,9.0,2.0,0.0,152.0,WA,013
109457.0,64506.0,270600.0,94877.0,983.0,1639.0,1334.0,279.0,2192.0,WA,015
42622.0,68979.0,304500.0,28246.0,233.0,451.0,295.0,138.0,10826.0,WA,017
7198.0,45907.0,204300.0,5249.0,21.0,1136.0,14.0,36.0,10.0,WA,019
95313.0,72452.0,254300.0,58985.0,2387.0,1334.0,1902.0,233.0,19091.0,WA,021
2278.0,50625.0,163800.0,2119.0,0.0,0.0,58.0,0.0,0.0,WA,023
97874.0,63566.0,210100.0,62182.0,1036.0,1589.0,994.0,15.0,23992.0,WA,025
74737.0,53615.0,213200.0,63566.0,1004.0,2760.0,1026.0,277.0,1285.0,WA,027
85938.0,75628.0,412300.0,70430.0,2362.0,971.0,3949.0,325.0,2037.0,WA,029
32590.0,59968.0,389700.0,28968.0,200.0,506.0,528.0,187.0,633.0,WA,031
2240876.0,106326.0,651900.0,1356265.0,144474.0,13687.0,420434.0,16370.0,98422.0,WA,033
273072.0,84600.0,392700.0,215001.0,7591.0,2974.0,13565.0,2613.0,6393.0,WA,035
44147.0,64134.0,352900.0,37429.0,439.0,212.0,611.0,156.0,2301.0,WA,037
22478.0,59583.0,312100.0,20137.0,156.0,308.0,90.0,4.0,349.0,WA,039
81214.0,60581.0,260900.0,70011.0,534.0,623.0,951.0,149.0,1964.0,WA,041
10798.0,62810.0,185300.0,9994.0,72.0,180.0,82.0,51.0,66.0,WA,043
64964.0,66325.0,278100.0,52653.0,435.0,1176.0,606.0,289.0,3971.0,WA,045
41966.0,51992.0,218100.0,29219.0,102.0,4082.0,223.0,46.0,4789.0,WA,047
22974.0,54598.0,214900.0,19161.0,138.0,536.0,395.0,35.0,1307.0,WA,049
13302.0,59134.0,261900.0,11536.0,41.0,383.0,59.0,44.0,373.0,WA,051
910225.0,82574.0,369300.0,634333.0,63054.0,10785.0,59164.0,13817.0,29343.0,WA,053
17631.0,68577.0,572600.0,15954.0,164.0,128.0,233.0,15.0,394.0,WA,055
128228.0,75308.0,371600.0,101807.0,961.0,2291.0,2492.0,259.0,12194.0,WA,057
11973.0,75565.0,366300.0,10902.0,10.0,244.0,133.0,25.0,188.0,WA,059
820024.0,95618.0,483000.0,582306.0,27614.0,7101.0,95847.0,3419.0,31103.0,WA,061
531477.0,64079.0,273200.0,455903.0,9606.0,6167.0,11784.0,3267.0,8861.0,WA,063
46057.0,57206.0,235400.0,40654.0,166.0,2259.0,296.0,80.0,325.0,WA,065
290642.0,81501.0,344700.0,225666.0,8532.0,3202.0,16725.0,2733.0,5774.0,WA,067
4373.0,54422.0,232500.0,3768.0,57.0,11.0,71.0,0.0,198.0,WA,069
62168.0,63686.0,277300.0,49721.0,1137.0,840.0,1003.0,123.0,4682.0,WA,071
224533.0,70011.0,396500.0,182547.0,2158.0,5348.0,9511.0,592.0,8227.0,WA,073
48197.0,43613.0,245100.0,38736.0,1016.0,273.0,4015.0,54.0,987.0,WA,075
255151.0,58380.0,213200.0,166449.0,2544.0,8363.0,2519.0,1139.0,42747.0,WA,077
20505.0,51878.0,150000.0,18729.0,516.0,166.0,153.0,3.0,276.0,WI,001
16002.0,55070.0,120700.0,13349.0,152.0,1699.0,108.0,3.0,56.0,WI,003
46529.0,55256.0,163400.0,43404.0,822.0,334.0,313.0,0.0,732.0,WI,005
16031.0,62859.0,187000.0,13624.0,194.0,1445.0,76.0,0.0,64.0,WI,007
267364.0,68799.0,193500.0,220685.0,7076.0,5546.0,8666.0,57.0,9460.0,WI,009
13314.0,61167.0,164500.0,12789.0,98.0,32.0,5.0,0.0,150.0,WI,011
